Date,Name,Year,Letterboxd URI,Rating
2018-03-12,Moneyball,2011,https://boxd.it/glS,3.5
2018-03-12,Mulholland Drive,2001,https://boxd.it/297o,4
2018-03-12,Burnt,2015,https://boxd.it/9mVg,3.5
2018-03-12,Artificial Paradises,2012,https://boxd.it/3N68,3
2018-03-12,A River Runs Through It,1992,https://boxd.it/2aFm,2.5
2018-03-12,The Best of Me,2014,https://boxd.it/73cs,2
2018-03-12,Ex Machina,2015,https://boxd.it/7T2k,5
2018-03-12,The Danish Girl,2015,https://boxd.it/9Ohy,4
2018-03-12,About Time,2013,https://boxd.it/43bI,3.5
2018-03-12,Joy,2015,https://boxd.it/8kEU,2.5
2018-03-12,Mad Max: Fury Road,2015,https://boxd.it/2DjO,2
2018-03-12,Brooklyn,2015,https://boxd.it/5bdk,3
2018-03-12,Carol,2015,https://boxd.it/7DPK,4
2018-03-12,The Big Short,2015,https://boxd.it/ajZw,3
2018-03-12,The Revenant,2015,https://boxd.it/8H5e,3.5
2018-03-12,Room,2015,https://boxd.it/7T0y,4.5
2018-03-12,Dope,2015,https://boxd.it/9Tho,3.5
2018-03-12,Spotlight,2015,https://boxd.it/a84k,4.5
2018-03-12,Primal Fear,1996,https://boxd.it/28ws,4.5
2018-03-12,Memento,2000,https://boxd.it/2bcK,4
2018-03-12,No Country for Old Men,2007,https://boxd.it/21ew,3.5
2018-03-12,Neighbors,2014,https://boxd.it/5Txe,2
2018-03-12,Before Sunrise,1995,https://boxd.it/2bcU,5
2018-03-12,Before Sunset,2004,https://boxd.it/2bcg,5
2018-03-12,Before Midnight,2013,https://boxd.it/4ive,5
2018-03-12,Anna Karenina,2012,https://boxd.it/3lyy,4
2018-03-12,How to Be Single,2016,https://boxd.it/7GJq,2.5
2018-03-12,Snatch,2000,https://boxd.it/2b7U,2.5
2018-03-12,The Man from U.N.C.L.E.,2015,https://boxd.it/67lG,4
2018-03-12,The Broken Circle Breakdown,2012,https://boxd.it/4pHm,4
2018-03-12,50/50,2011,https://boxd.it/10Tw,3
2018-03-12,American History X,1998,https://boxd.it/2bdo,4
2018-03-12,Casino,1995,https://boxd.it/2ads,4
2018-03-12,"Definitely, Maybe",2008,https://boxd.it/20eU,4.5
2018-03-12,Sidewalls,2011,https://boxd.it/2EiM,3
2018-03-12,Chelsea Peretti: One of the Greats,2014,https://boxd.it/921C,3.5
2018-03-12,Me Before You,2016,https://boxd.it/9n98,2.5
2018-03-12,Finding Dory,2016,https://boxd.it/4aAA,3.5
2018-03-12,Finding Nemo,2003,https://boxd.it/72i,5
2018-03-12,Iliza Shlesinger: Freezing Hot,2015,https://boxd.it/apgs,3
2018-03-12,Four Weddings and a Funeral,1994,https://boxd.it/29KA,5
2018-03-12,Notting Hill,1999,https://boxd.it/2aeK,5
2018-03-12,Love Actually,2003,https://boxd.it/2aeU,3
2018-03-12,When Harry Met Sally...,1989,https://boxd.it/29W2,4
2018-03-12,Amélie,2001,https://boxd.it/2aUc,2
2018-03-12,Clash of the Titans,2010,https://boxd.it/1GfI,0.5
2018-03-12,Chelsea Handler: Uganda Be Kidding Me Live,2014,https://boxd.it/9pJs,3.5
2018-03-12,Trainspotting,1996,https://boxd.it/29XY,4
2018-03-12,Melancholia,2011,https://boxd.it/bPI,4
2018-03-12,Spirited Away,2001,https://boxd.it/2b4m,4.5
2018-03-12,Dogville,2003,https://boxd.it/2a8W,5
2018-03-12,Intolerable Cruelty,2003,https://boxd.it/1T7i,0.5
2018-03-12,Thelma & Louise,1991,https://boxd.it/28Ew,4
2018-03-12,My Old Lady,2014,https://boxd.it/8I8S,4
2018-03-12,Blame It on Fidel!,2006,https://boxd.it/1IE6,4.5
2018-03-12,Donnie Darko,2001,https://boxd.it/2b2A,1.5
2018-03-12,Cartel Land,2015,https://boxd.it/ahGW,3
2018-03-12,The Propaganda Game,2015,https://boxd.it/ccVQ,2.5
2018-03-12,Suicide Squad,2016,https://boxd.it/9row,2
2018-03-12,Now You See Me 2,2016,https://boxd.it/99fw,2.5
2018-03-12,Hotel Rwanda,2004,https://boxd.it/2aSA,3.5
2018-03-12,Once,2007,https://boxd.it/22GG,1.5
2018-03-12,Love Stories,2016,https://boxd.it/aN7O,3
2018-03-12,The Royal Tenenbaums,2001,https://boxd.it/1YHU,1
2018-03-12,Closer,2004,https://boxd.it/270K,3.5
2018-03-12,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,4
2018-03-12,Fargo,1996,https://boxd.it/2aHM,4
2018-03-12,Drive,2011,https://boxd.it/IG,3
2018-03-12,The Invitation,2015,https://boxd.it/9OUU,2
2018-03-12,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,3.5
2018-03-12,Brokeback Mountain,2005,https://boxd.it/2b2q,2.5
2018-03-12,"Hail, Caesar!",2016,https://boxd.it/881G,2.5
2018-03-12,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,5
2018-03-12,Oldboy,2003,https://boxd.it/29R2,2
2018-03-12,Mansfield Park,1999,https://boxd.it/1Wmq,3.5
2018-03-12,Shutter Island,2010,https://boxd.it/1U82,4.5
2018-03-12,Casablanca,1942,https://boxd.it/2aG0,5
2018-03-12,It's Kind of a Funny Story,2010,https://boxd.it/Tfa,3
2018-03-12,Reality Bites,1994,https://boxd.it/26iI,3.5
2018-03-12,Stuck in Love,2012,https://boxd.it/3L08,4
2018-03-12,The Fundamentals of Caring,2016,https://boxd.it/aiai,3.5
2018-03-12,The Girl on the Train,2016,https://boxd.it/bCJY,3.5
2018-03-12,Today's Special,2009,https://boxd.it/MHw,1.5
2018-03-12,Lawrence of Arabia,1962,https://boxd.it/2wRE,4.5
2018-03-12,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/7FPC,4.5
